name,description,category,subcategory,subsubcategory,combatscore,runescore
"It's Late and I'm Awake","Mine 200 stardust from a shooting star.","Activities","Distractions & Diversions","Shooting Star","N/A","10"
"It's Mine!","Mine one of each of the listed ores.","Skills","Mining","N/A","N/A","15"
"It's My Newt","Catch a red salamander from the Hunter area outside of Ourania Altar.","Area Tasks","Hard Ardougne","N/A","N/A","15"
"It's Not Called Surging Tombs","Complete all objectives solo in Shifting Tombs without using Surge, Escape or Bladed Dive.","Activities","Minigames","N/A","N/A","15"
"It's Not Wabbit Season","Kill a duck in Falador Park.","Area Tasks","Easy Falador","N/A","N/A","5"
"It's Nothing Personal","Increase your reputation with the White Knights by killing a Black Knight.","Area Tasks","Medium Falador","N/A","N/A","10"
"It's Only a Model","Teleport to Camelot.","Area Tasks","Medium Seers' Village","N/A","N/A","10"
"It's Only Wafer Thin","Cook a thin snail in Morytania.","Area Tasks","Easy Morytania","N/A","N/A","5"
"IT'S SUPER EFFECTIVE!","Kill Smoulders whilst using a waterfiend familiar.","Combat","Zamorak","N/A","N/A","5"
"It's Like God Book Illuminations in Here","Create all 6 illuminated God Books after 'One Piercing Note'.","Lore","Post-Quest","N/A","N/A","30"
"It's Not Nice to Throw Things","Defeat the Magister without being hit by his 'Unstable Mixture' attack.","Combat","Magister","N/A","3","15"
"Its Vision Is Based On Movement","Defeat Vorago without anyone moving during the 'Scopulus' stage once the Scopulus have spawned.","Combat","Vorago","N/A","4","25"
"Ivan is Flailing","Unlock the full power of the ivandis flail by burning vyre corpses in the Columbarium. (X/500)","Lore","Post-Quest","N/A","N/A","10"
"Izzy Wizzy Let's Get Lizzy","Trap a green salamander in the Haunted Woods.","Area Tasks","Medium Morytania","N/A","N/A","10"
"Jack of All Blades","Collect all combat skilling pets. (X/10)","Skills","Skilling Pets","N/A","N/A","0"
"Jack of all Menaphos","Do a bit of everything in Menaphos and claim the cape of the palapa from Urluk.","Exploration","Menaphos","N/A","N/A","0"
"Jack of All Trades","Collect all non-combat skilling pets. (X/19)","Skills","Skilling Pets","N/A","N/A","0"
"Jack of Blades","Collect 3 combat skilling pets.","Skills","Skilling Pets","N/A","N/A","0"
"Jack of the Circus","Obtain all circus clothing from Balthazar Beauregard's Big Top Bonanza.","Activities","Distractions & Diversions","N/A","N/A","25"
"Jack of Trades","Collect 5 non-combat skilling pets.","Skills","Skilling Pets","N/A","N/A","0"
"Jackanory","Have Elsie tell you a story.","Area Tasks","Easy Varrock","N/A","N/A","5"
"Jadinko Bingo","Catch each of the listed Jadinkos.","Skills","Hunter","N/A","N/A","30"
"Jail break","Free each of the baby dinosaurs from the jail cells within the Rex Matriarch lair.","Combat","Rex Matriarchs","N/A","N/A","30"
"Jas not Meant for Mortal Hands","Return to the Submerged Statue at Entrana after 'One of a Kind' and 'Ritual of the Mahjarrat'.","Lore","Post-Quest","Experience","N/A","5"
"Jaws Breaker","Catch a shark with bare hands on Jatizso.","Area Tasks","Elite Fremennik","N/A","N/A","25"
"Jed Hunter (miniquest)","Complete this miniquest.","Lore","Miniquests","The Arc (Miniquests)","N/A","10"
"Journey Tier 0","Complete the listed achievements to gain access to Group Ironman Storage.","Group Ironman","N/A","N/A","N/A","0"
"Journey Tier 0: Collect Ironman Armour","At least one player must have collected a set of ironman armour from the Iron Enclave.","Group Ironman","Journey Tier 0","N/A","N/A","0"
"Journey Tier 0: Cooks assistant","At least one player must complete the quest 'Cooks assistant'.","Group Ironman","Journey Tier 0","N/A","N/A","0"
"Journey Tier 0: Total level","Reach a group total level of 40 x group size. | Group size 2: Achieve 80 total level across the group. | Group size 3: Achieve 120 total level across the group. | Group size 4: Achieve 160 total level across the group. | Group size 5: Achieve 200 total level across the group.","Group Ironman","Journey Tier 0","N/A","N/A","0"
"Journey Tier 1","Complete the listed achievements.","Group Ironman","N/A","N/A","N/A","0"
"Journey Tier 1: Restless ghost","At least one player must complete the quest 'Restless ghost'","Group Ironman","Journey Tier 1","N/A","N/A","0"
"Journey Tier 1: The Provider of Misthalin","At least one player must complete the achievement 'The Provider of Misthalin'","Group Ironman","Journey Tier 1","N/A","N/A","0"
"Journey Tier 1: The Scourge of Misthalin","At least one player must complete the achievement 'The Scourge of Misthalin'","Group Ironman","Journey Tier 1","N/A","N/A","0"
"Journey Tier 1: Total level","Reach a group total level of 50 x group size. | Group size 2: Achieve 100 total level across the group. | Group size 3: Achieve 150 total level across the group. | Group size 4: Achieve 200 total level across the group. | Group size 5: Achieve 250 total level across the group.","Group Ironman","Journey Tier 1","N/A","N/A","0"
"Journey Tier 1: Total Quest Points","Reach a group total Quest Points of 5 x group size. | Group size 2: Achieve 10 total Quest Points across the group. | Group size 3: Achieve 15 total Quest Points across the group. | Group size 4: Achieve 20 total Quest Points across the group. | Group size 5: Achieve 25 total Quest Points across the group.","Group Ironman","Journey Tier 1","N/A","N/A","0"
"Journey Tier 2","Complete the listed achievements.","Group Ironman","N/A","N/A","N/A","0"
"Journey Tier 2: Lumbridge Set Tasks - Easy","At least one player must complete the achievement 'Lumbridge Set Tasks - Easy'","Group Ironman","Journey Tier 2","N/A","N/A","0"
"Journey Tier 2: Priest in Peril","At least one player must complete the quest 'Priest in Peril'","Group Ironman","Journey Tier 2","N/A","N/A","0"
"Journey Tier 2: Slayer 10","At least one player must complete the achievement 'Slayer 10'","Group Ironman","Journey Tier 2","N/A","N/A","0"
"Journey Tier 2: Total level","Reach a group total level of 200 x group size. | Group size 2: Achieve 400 total level across the group. | Group size 3: Achieve 600 total level across the group. | Group size 4: Achieve 800 total level across the group. | Group size 5: Achieve 1,000 total level across the group.","Group Ironman","Journey Tier 2","N/A","N/A","0"
"Journey Tier 2: Total Quest Points","Reach a group total Quest Points of 20 x group size. | Group size 2: Achieve 40 total Quest Points across the group. | Group size 3: Achieve 60 total Quest Points across the group. | Group size 4: Achieve 80 total Quest Points across the group. | Group size 5: Achieve 100 total Quest Points across the group.","Group Ironman","Journey Tier 2","N/A","N/A","0"
"Journey Tier 3","Complete the listed achievements.","Group Ironman","N/A","N/A","N/A","0"
"Journey Tier 3: Dragon Slayer","At least one player must complete the quest 'Dragon Slayer'","Group Ironman","Journey Tier 3","N/A","N/A","0"
"Journey Tier 3: Icthlarin's Little Helper","At least one player must complete the quest 'Icthlarin's Little Helper'","Group Ironman","Journey Tier 3","N/A","N/A","0"
"Journey Tier 3: Novice Provisions Officer","At least one player must complete the achievement 'Novice Provisions Officer'","Group Ironman","Journey Tier 3","N/A","N/A","0"
"Journey Tier 3: Total level","Reach a group total level of 500 x group size. | Group size 2: Achieve 1,000 total level across the group. | Group size 3: Achieve 1,500 total level across the group. | Group size 4: Achieve 2,000 total level across the group. | Group size 5: Achieve 2,500 total level across the group.","Group Ironman","Journey Tier 3","N/A","N/A","0"
"Journey Tier 3: Total Quest Points","Reach a group total Quest Points of 40 x group size. | Group size 2: Achieve 80 total Quest Points across the group. | Group size 3: Achieve 120 total Quest Points across the group. | Group size 4: Achieve 160 total Quest Points across the group. | Group size 5: Achieve 200 total Quest Points across the group.","Group Ironman","Journey Tier 3","N/A","N/A","0"
"Journey Tier 3: Wonderful Walls","At least one player must complete the achievement 'Wonderful Walls'","Group Ironman","Journey Tier 3","N/A","N/A","0"
"Journey Tier 4","Complete the listed achievements.","Group Ironman","N/A","N/A","N/A","0"
"Journey Tier 4: Ardougne Set Tasks - Easy","At least one player must complete the achievement 'Ardougne Set Tasks - Easy'","Group Ironman","Journey Tier 4","N/A","N/A","0"
"Journey Tier 4: Beginner Provisions Officer","At least one player must complete the achievement 'Beginner Provisions Officer'","Group Ironman","Journey Tier 4","N/A","N/A","0"
"Journey Tier 4: King Black Dragon","At least one player must complete the achievement 'King Black Dragon'","Group Ironman","Journey Tier 4","N/A","N/A","0"
"Journey Tier 4: One Small Favour","At least one player must complete the quest 'One Small Favour'","Group Ironman","Journey Tier 4","N/A","N/A","0"
"Journey Tier 4: Total level","Reach a group total level of 1,000 x group size. | Group size 2: Achieve 2,000 total level across the group. | Group size 3: Achieve 3,000 total level across the group. | Group size 4: Achieve 4,000 total level across the group. | Group size 5: Achieve 5,000 total level across the group.","Group Ironman","Journey Tier 4","N/A","N/A","0"
"Journey Tier 4: Total Quest Points","Reach a group total Quest Points of 80 x group size. | Group size 2: Achieve 160 total Quest Points across the group. | Group size 3: Achieve 240 total Quest Points across the group. | Group size 4: Achieve 320 total Quest Points across the group. | Group size 5: Achieve 400 total Quest Points across the group.","Group Ironman","Journey Tier 4","N/A","N/A","0"
"Journey Tier 5","Complete the listed achievements.","Group Ironman","N/A","N/A","N/A","0"
"Journey Tier 5: Competent Provisions Officer","At least one player must complete the achievement 'Competent Provisions Officer'","Group Ironman","Journey Tier 5","N/A","N/A","0"
"Journey Tier 5: Desert Treasure","At least one player must complete the quest 'Desert Treasure'","Group Ironman","Journey Tier 5","N/A","N/A","0"
"Journey Tier 5: Kalphite Queen","At least one player must complete the achievement 'Kalphite Queen'","Group Ironman","Journey Tier 5","N/A","N/A","0"
"Journey Tier 5: Morytania Set Tasks - Easy","At least one player must complete the achievement 'Morytania Set Tasks - Easy'","Group Ironman","Journey Tier 5","N/A","N/A","0"
"Journey Tier 5: Total level","Reach a group total level of 1,400 x group size. | Group size 2: Achieve 2,800 total level across the group. | Group size 3: Achieve 4,200 total level across the group. | Group size 4: Achieve 5,600 total level across the group. | Group size 5: Achieve 7,000 total level across the group.","Group Ironman","Journey Tier 5","N/A","N/A","0"
"Journey Tier 5: Total Quest Points","Reach a group total Quest Points of 120 x group size. | Group size 2: Achieve 240 total Quest Points across the group. | Group size 3: Achieve 360 total Quest Points across the group. | Group size 4: Achieve 480 total Quest Points across the group. | Group size 5: Achieve 600 total Quest Points across the group.","Group Ironman","Journey Tier 5","N/A","N/A","0"
"Journey Tier 6","Complete the listed achievements.","Group Ironman","N/A","N/A","N/A","0"
"Journey Tier 6: Desert Set Tasks - Medium","At least one player must complete the achievement 'Desert Set Tasks - Medium'","Group Ironman","Journey Tier 6","N/A","N/A","0"
"Journey Tier 6: God Wars Dungeon","At least one player must complete the achievement 'God Wars Dungeon'","Group Ironman","Journey Tier 6","N/A","N/A","0"
"Journey Tier 6: Proficient Provisions Officer","At least one player must complete the achievement 'Proficient Provisions Officer'","Group Ironman","Journey Tier 6","N/A","N/A","0"
"Journey Tier 6: The Path of Glouphrie","At least one player must complete the quest 'The Path of Glouphrie'","Group Ironman","Journey Tier 6","N/A","N/A","0"
"Journey Tier 6: Total level","Reach a group total level of 1,800 x group size. | Group size 2: Achieve 3,600 total level across the group. | Group size 3: Achieve 5,400 total level across the group. | Group size 4: Achieve 7,200 total level across the group. | Group size 5: Achieve 9,000 total level across the group.","Group Ironman","Journey Tier 6","N/A","N/A","0"
"Journey Tier 6: Total Quest Points","Reach a group total Quest Points of 160 x group size. | Group size 2: Achieve 320 total Quest Points across the group. | Group size 3: Achieve 480 total Quest Points across the group. | Group size 4: Achieve 640 total Quest Points across the group. | Group size 5: Achieve 800 total Quest Points across the group.","Group Ironman","Journey Tier 6","N/A","N/A","0"
"Journey Tier 7","Complete the listed achievements.","Group Ironman","N/A","N/A","N/A","0"
"Journey Tier 7: Falador Set Tasks - Hard","At least one player must complete the achievement 'Falador Set Tasks - Hard'","Group Ironman","Journey Tier 7","N/A","N/A","0"
"Journey Tier 7: Recipe for Disaster","At least one player must complete the quest 'Recipe for Disaster'","Group Ironman","Journey Tier 7","N/A","N/A","0"
"Journey Tier 7: Seeing Lava","At least one player must complete the achievement 'Seeing Lava'","Group Ironman","Journey Tier 7","N/A","N/A","0"
"Journey Tier 7: Total level","Reach a group total level of 2,000 x group size. | Group size 2: Achieve 4,000 total level across the group. | Group size 3: Achieve 6,000 total level across the group. | Group size 4: Achieve 8,000 total level across the group. | Group size 5: Achieve 10,000 total level across the group.","Group Ironman","Journey Tier 7","N/A","N/A","0"
"Journey Tier 7: Total Quest Points","Reach a group total Quest Points of 200 x group size. | Group size 2: Achieve 400 total Quest Points across the group. | Group size 3: Achieve 600 total Quest Points across the group. | Group size 4: Achieve 800 total Quest Points across the group. | Group size 5: Achieve 1,000 total Quest Points across the group.","Group Ironman","Journey Tier 7","N/A","N/A","0"
"Journey Tier 8","Complete the listed achievements.","Group Ironman","N/A","N/A","N/A","0"
"Journey Tier 8: Daemonheim Set Tasks - Hard","At least one player must complete the achievement 'Daemonheim Set Tasks - Hard'","Group Ironman","Journey Tier 8","N/A","N/A","0"
"Journey Tier 8: Do No Evil","At least one player must complete the quest 'Do No Evil'","Group Ironman","Journey Tier 8","N/A","N/A","0"
"Journey Tier 8: Expert Provisions Officer","At least one player must complete the achievement 'Expert Provisions Officer'","Group Ironman","Journey Tier 8","N/A","N/A","0"
"Journey Tier 8: Heart of Gielinor","At least one player must complete the achievement 'Heart of Gielinor'","Group Ironman","Journey Tier 8","N/A","N/A","0"
"Journey Tier 8: Total level","Reach a group total level of 2,150 x group size. | Group size 2: Achieve 4,300 total level across the group. | Group size 3: Achieve 6,450 total level across the group. | Group size 4: Achieve 8,600 total level across the group. | Group size 5: Achieve 10,750 total level across the group.","Group Ironman","Journey Tier 8","N/A","N/A","0"
"Journey Tier 8: Total Quest Points","Reach a group total Quest Points of 250 x group size. | Group size 2: Achieve 500 total Quest Points across the group. | Group size 3: Achieve 750 total Quest Points across the group. | Group size 4: Achieve 1,000 total Quest Points across the group. | Group size 5: Achieve 1,250 total Quest Points across the group.","Group Ironman","Journey Tier 8","N/A","N/A","0"
"Journey Tier 9","Complete the listed achievements.","Group Ironman","N/A","N/A","N/A","0"
"Journey Tier 9: Araxxi","At least one player must complete the achievement 'Araxxi'","Group Ironman","Journey Tier 9","N/A","N/A","0"
"Journey Tier 9: Ritual of the Mahjarrat","At least one player must complete the quest 'Ritual of the Mahjarrat'","Group Ironman","Journey Tier 9","N/A","N/A","0"
"Journey Tier 9: Tirannwn Set Tasks - Hard","At least one player must complete the achievement 'Tirannwn Set Tasks - Hard'","Group Ironman","Journey Tier 9","N/A","N/A","0"
"Journey Tier 9: Total level","Reach a group total level of 2,300 x group size. | Group size 2: Achieve 4,600 total level across the group. | Group size 3: Achieve 6,900 total level across the group. | Group size 4: Achieve 9,200 total level across the group. | Group size 5: Achieve 11,500 total level across the group.","Group Ironman","Journey Tier 9","N/A","N/A","0"
"Journey Tier 9: Total Quest Points","Reach a group total Quest Points of 300 x group size. | Group size 2: Achieve 600 total Quest Points across the group. | Group size 3: Achieve 900 total Quest Points across the group. | Group size 4: Achieve 1,200 total Quest Points across the group. | Group size 5: Achieve 1,500 total Quest Points across the group.","Group Ironman","Journey Tier 9","N/A","N/A","0"
"Journey Tier 10","Complete the listed achievements.","Group Ironman","N/A","N/A","N/A","0"
"Journey Tier 10: Fremennik Set Tasks - Elite","At least one player must complete the achievement 'Fremennik Set Tasks - Elite'","Group Ironman","Journey Tier 10","N/A","N/A","0"
"Journey Tier 10: Master Provisions Officer","At least one player must complete the achievement 'Master Provisions Officer'","Group Ironman","Journey Tier 10","N/A","N/A","0"
"Journey Tier 10: Sliske's Endgame","At least one player must complete the quest 'Sliske's Endgame'","Group Ironman","Journey Tier 10","N/A","N/A","0"
"Journey Tier 10: Telos If You're Angry II","At least one player must complete the achievement 'Telos If You're Angry II'","Group Ironman","Journey Tier 10","N/A","N/A","0"
"Journey Tier 10: Total level","Reach a group total level of 2,500 x group size. | Group size 2: Achieve 5,000 total level across the group. | Group size 3: Achieve 7,500 total level across the group. | Group size 4: Achieve 10,000 total level across the group. | Group size 5: Achieve 12,500 total level across the group.","Group Ironman","Journey Tier 10","N/A","N/A","0"
"Journey Tier 10: Total Quest Points","Reach a group total Quest Points of 375 x group size. | Group size 2: Achieve 750 total Quest Points across the group. | Group size 3: Achieve 1,125 total Quest Points across the group. | Group size 4: Achieve 1,500 total Quest Points across the group. | Group size 5: Achieve 1,875 total Quest Points across the group.","Group Ironman","Journey Tier 10","N/A","N/A","0"
"Journey to the Centre of the Earth Altar","Enter the Earth Altar using an earth tiara or talisman.","Area Tasks","Easy Varrock","N/A","N/A","5"
"Ju-raksha Park I","Defeat Raksha, the Shadow Colossus. (X/5)","Combat","Raksha","N/A","N/A","5"
"Ju-raksha Park II","Defeat Raksha, the Shadow Colossus. (X/10)","Combat","Raksha","N/A","N/A","5"
"Ju-raksha Park III","Defeat Raksha, the Shadow Colossus. (X/25)","Combat","Raksha","N/A","4","25"
"Ju-raksha Park IV","Defeat Raksha, the Shadow Colossus. (X/50)","Combat","Raksha","N/A","N/A","5"
"Ju-raksha Park V","Defeat Raksha, the Shadow Colossus. (X/75)","Combat","Raksha","N/A","N/A","5"
"Ju-raksha Park VI","Defeat Raksha, the Shadow Colossus. (X/100)","Combat","Raksha","N/A","N/A","5"
"Jumping-off Point","Jump over the fence south of Varrock.","Area Tasks","Easy Varrock","N/A","N/A","5"
"Jungle Potion","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Jungle Predator","Obtained a collection of unique drops from Slayer monsters located within Karamja.","Feats","Slayer Logs","N/A","N/A","0"
"Jurassic Perk","Discover all the totem pieces on Anachronia.","Exploration","Anachronia","N/A","N/A","30"
"Just Add Water","Make some soft clay.","Area Tasks","Beginner Lumbridge","N/A","N/A","5"
"Just Give Me a Sign","Create a sign.","Skills","Divination","N/A","N/A","5"
"Just Keep Running","Defeat Rasial, the First Necromancer without being hit by his 'Finger of Death' attack in phase 4.","Combat","Rasial","N/A","4","25"
"Just Like That","Enter the Magic Guild in Yanille.","Area Tasks","Hard Ardougne","N/A","N/A","15"
"Just One More Key...","Use a Columbarium key to unlock an alcove.","Area Tasks","Hard Morytania","N/A","N/A","15"
"Just Peachy","Cast the Bones to peaches spell on some bones within Senntisten.","Exploration","Senntisten","N/A","N/A","5"
"Just the Ticket","Claim a ticket from Brimhaven Agility Arena.","Area Tasks","Medium Karamja","N/A","N/A","10"
"Jute Alors!","Plant some jute.","Area Tasks","Easy Seers' Village","N/A","N/A","5"
"K'ril Tinyroth","Unlock the K'ril Tinyroth pet from K'ril Tsutsaroth in the God Wars Dungeon.","Combat","Boss Pets","N/A","N/A","0"
"K'ril Tsutsaroth","Defeat K'ril Tsutsaroth. (X/1)","Combat","God Wars Dungeon","K'ril Tsutsaroth","N/A","0"
"K'ril Tsutsaroth (HM) Competent Speed Killer","Defeat K'ril Tsutsaroth in hard mode, solo, in less than 00:45.","Combat","God Wars Dungeon","K'ril Tsutsaroth","3","15"
"K'ril Tsutsaroth (HM) Elite Speed Killer","Defeat K'ril Tsutsaroth in hard mode, solo, in less than 00:27.","Combat","God Wars Dungeon","K'ril Tsutsaroth","4","25"
"K'ril Tsutsaroth Beginner Speed Killer","Defeat K'ril Tsutsaroth solo in less than 00:45.","Combat","God Wars Dungeon","K'ril Tsutsaroth","2","10"
"K'ril Tsutsaroth Competent Speed Killer","Defeat K'ril Tsutsaroth solo in less than 00:24.","Combat","God Wars Dungeon","K'ril Tsutsaroth","3","15"
"K'ril Will Be Done","Defeat K'ril after he slams through your prayers 3 times. Can only be completed in a solo instance.","Combat","God Wars Dungeon","K'ril Tsutsaroth","2","10"
"K'rilow","Defeat K'ril with a willow weapon. Can only be completed in a solo instance.","Combat","God Wars Dungeon","K'ril Tsutsaroth","N/A","40"
"Kaiki's Tusks","Complete Kaigi's journal.","Lore","Books","N/A","N/A","20"
"Kal'gerion Commander","Unlock the Kal'gerion battle commendation titles.","Skills","Dungeoneering","N/A","N/A","35"
"Kal'gerion Notes","Find all Kal'gerion notes.","Lore","Books","N/A","N/A","35"
"Kalphite Grublet","Unlock the Kalphite Grublet pet from the Kalphite Queen.","Combat","Boss Pets","N/A","N/A","0"
"Kalphite Grublet (Flying)","Unlock the Kalphite Grublet (Flying) pet from the Kalphite Queen.","Combat","Boss Pets","N/A","N/A","0"
"Kalphite Grubling","Unlock the Kalphite Grubling pet from the Kalphite King.","Combat","Boss Pets","N/A","N/A","0"
"Kalphite King","Defeat the Kalphite King. (X/1)","Combat","Kalphite King","N/A","N/A","0"
"Kalphite King (solo)","Defeat the Kalphite King solo.","Combat","Kalphite King","N/A","4","25"
"Kalphite King Competent Speed Killer","Defeat the Kalphite King in a team of 2 or fewer in less than 01:00.","Combat","Kalphite King","N/A","3","15"
"Kalphite King Elite Speed Killer","Defeat the Kalphite King in a team of 2 or fewer in less than 00:30.","Combat","Kalphite King","N/A","4","25"
"Kalphite Queen","Defeat the Kalphite Queen. (X/1)","Combat","Kalphite Queen","N/A","N/A","0"
"Kalphite Queen Beginner Speed Killer","Defeat Kalphite Queen solo in less than 01:30.","Combat","Kalphite Queen","N/A","2","10"
"Kalphite Queen Novice Speed Killer","Defeat the Kalphite Queen solo in less than 02:30.","Combat","Kalphite Queen","N/A","1","5"
"Kami Spirits of the Arc","Discover all the Arc kami spirits.","Exploration","The Arc","N/A","N/A","25"
"Karamja","Activate the lodestone on Karamja.","Exploration","Members' Lodestones","N/A","N/A","5"
"Karamja Set Tasks - Easy","Given by Pirate Jackie the Fruit outside Brimhaven Agility Arena for completing all Easy Tasks in Karamja.","Area Tasks","N/A","N/A","N/A","5"
"Karamja Set Tasks - Elite","Given by any jungle forester north of Kharazi Jungle for completing all Elite Tasks in Karamja.","Area Tasks","N/A","N/A","N/A","25"
"Karamja Set Tasks - Hard","Given by any jungle forester north of Kharazi Jungle for completing all Hard Tasks in Karamja.","Area Tasks","N/A","N/A","N/A","15"
"Karamja Set Tasks - Medium","Given by Kaleb Paramaya in Shilo Village for completing all Medium Tasks in Karamja.","Area Tasks","N/A","N/A","N/A","10"
"Karil Bobblehead","Unlock the Karil bobblehead from Rise of the Six.","Combat","Boss Pets","N/A","N/A","0"
"Keep Your Workstation Clear","Defeat the Ambassador after placing all of his 'Black Stone Flames' attack in a single location.","Combat","Shadow Reef","Ambassador","4","25"
"Keeper of the Faith","Obtained a collection of unique drops from Commander Zilyana.","Feats","Boss Logs","N/A","N/A","0"
"Keeping a Healthy State of Mind","Defeat Solak, Guardian of the Grove while his remaining conscience within his mind has at least 50% life points remaining.","Combat","Solak","N/A","5","40"
"Keeping Tabs on Varrock","Make a Varrock Teleport tablet on a mahogany lectern.","Area Tasks","Hard Varrock","N/A","N/A","15"
"Keeping Up with the Carnilleans","Claim and use 8 experience lamps from Philipe Carnillean. (X/16)","Lore","Post-Quest","Experience","N/A","15"
"Kennith's Concerns","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Kerapac (HM) Elite Speed Killer","Defeat Kerapac, the bound in hard mode, solo, in less than 06:00.","Combat","Kerapac","N/A","4","25"
"Kerapac (HM) Grandmaster Speed Killer","Defeat Kerapac, the bound in hard mode, solo, in less than 02:15.","Combat","Kerapac","N/A","6","50"
"Kerapac (HM) Master Speed Killer","Defeat Kerapac, the bound in hard mode, solo, in less than 03:00.","Combat","Kerapac","N/A","5","40"
"Kerapac Competent Speed Killer","Defeat Kerapac, the bound solo in less than 03:00.","Combat","Kerapac","N/A","3","15"
"Kerapac Elite Speed Killer","Defeat Kerapac, the bound solo in less than 01:30.","Combat","Kerapac","N/A","4","25"
"Kerapac, the bound","Defeat Kerapac, the bound. (X/1)","Combat","Kerapac","N/A","N/A","0"
"Kerapac, the bound (perfect)","Defeat Kerapac, the bound in hard mode, solo while completing the listed achievements.","Combat","Kerapac","N/A","6","50"
"Kerapac, the bound (unorthodox)","Defeat Kerapac, the bound in hard mode, solo while completing the listed achievements.","Combat","Kerapac","N/A","6","50"
"Kerry","Unlock the Kerry pet from Kerapac.","Combat","Boss Pets","N/A","N/A","0"
"Kezalam (HM) Elite Speed Killer","Defeat Kezalam, the Wanderer in hard mode in less than 04:00.","Combat","Sanctum of Rebirth","Kezalam","4","25"
"Kezalam (HM) Master Speed Killer","Defeat Kezalam, the Wanderer in hard mode in less than 02:00.","Combat","Sanctum of Rebirth","Kezalam","5","40"
"Kezalam Competent Speed Killer","Defeat Kezalam, the Wanderer in less than 04:30.","Combat","Sanctum of Rebirth","Kezalam","3","15"
"Kezalam Elite Speed Killer","Defeat Kezalam, the Wanderer in less than 03:30.","Combat","Sanctum of Rebirth","Kezalam","4","25"
"Kezalam, the Wanderer","Defeat Kezalam, the Wanderer. (X/1)","Combat","Sanctum of Rebirth","Kezalam","N/A","0"
"Kezalam, the Wanderer (HM) (perfect)","Defeat Kezalam, the Wanderer in hard mode while completing the listed achievements.","Combat","Sanctum of Rebirth","Kezalam","5","40"
"Kezalam, the Wanderer (perfect)","Defeat Kezalam, the Wanderer without being resurrected while completing the listed achievements.","Combat","Sanctum of Rebirth","Kezalam","4","25"
"Kili Confirmed I","Upgrade a set of Death Skull equipment to tier 70.","Skills","Necromancy","N/A","N/A","10"
"Kili Confirmed II","Upgrade a set of Death Skull equipment to tier 80.","Skills","Necromancy","N/A","N/A","10"
"Kili Confirmed III","Upgrade a set of Death Skull equipment to tier 90.","Skills","Necromancy","N/A","N/A","10"
"Kili Row","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Kili with Kindness I","Upgrade a set of Deathwarden equipment to tier 70.","Skills","Necromancy","N/A","N/A","10"
"Kili with Kindness II","Upgrade a set of Deathwarden equipment to tier 80.","Skills","Necromancy","N/A","N/A","10"
"Kili with Kindness III","Upgrade a set of Deathwarden equipment to tier 90.","Skills","Necromancy","N/A","N/A","10"
"Kili's Knowledge I","Learn how to upgrade your Death Skull and Deathwarden equipment to tier 30 from Kili.","Skills","Necromancy","N/A","N/A","10"
"Kili's Knowledge II","Learn how to upgrade your Death Skull and Deathwarden equipment to tier 40 from Kili.","Skills","Necromancy","N/A","N/A","10"
"Kili's Knowledge III","Learn how to upgrade your Death Skull and Deathwarden equipment to tier 50 from Kili.","Skills","Necromancy","N/A","N/A","10"
"Kili's Knowledge IV","Learn how to upgrade your Death Skull and Deathwarden equipment to tier 60 from Kili.","Skills","Necromancy","N/A","N/A","10"
"Kili's Knowledge V","Learn how to upgrade your Death Skull and Deathwarden equipment to tier 70 from Kili.","Skills","Necromancy","N/A","N/A","10"
"Kili's Knowledge VI","Learn how to upgrade your Death Skull and Deathwarden equipment to tier 80 from Kili.","Skills","Necromancy","N/A","N/A","15"
"Kili's Knowledge VII","Learn how to upgrade your Death Skull and Deathwarden equipment to tier 90 from Kili.","Skills","Necromancy","N/A","N/A","20"
"Kili's Knowledge V (power)","Learn how to upgrade your Death Skull equipment to tier 70, and upgrade your Deathwarden equipment to tier 70 Deathdealer from Kili.","Skills","Necromancy","N/A","N/A","10"
"Kili's Knowledge VI (power)","Learn how to upgrade your Death Skull and Deathdealer equipment to tier 80 from Kili.","Skills","Necromancy","N/A","N/A","15"
"Kili's Knowledge VII (power)","Learn how to upgrade your Death Skull and Deathdealer equipment to tier 90 from Kili.","Skills","Necromancy","N/A","N/A","20"
"Kill Count Still Counts","Create an omni soulstone from the Saradominist, Zamorakian, Bandosian and Armadylean soulstones dropped by the hard mode bosses in the God Wars Dungeon.","Combat","God Wars Dungeon","N/A","N/A","30"
"Kill K'ril I","Defeat K'ril Tsutsaroth. (X/5)","Combat","God Wars Dungeon","K'ril Tsutsaroth","N/A","5"
"Kill K'ril II","Defeat K'ril Tsutsaroth. (X/10)","Combat","God Wars Dungeon","K'ril Tsutsaroth","N/A","5"
"Kill K'ril III","Defeat K'ril Tsutsaroth. (X/25)","Combat","God Wars Dungeon","K'ril Tsutsaroth","2","10"
"Kill K'ril IV","Defeat K'ril Tsutsaroth. (X/50)","Combat","God Wars Dungeon","K'ril Tsutsaroth","N/A","5"
"Kill K'ril V","Defeat K'ril Tsutsaroth. (X/75)","Combat","God Wars Dungeon","K'ril Tsutsaroth","N/A","5"
"Kill K'ril VI","Defeat K'ril Tsutsaroth. (X/100)","Combat","God Wars Dungeon","K'ril Tsutsaroth","N/A","5"
